MainMenu/PlayButton,"Play"
Levels/TrainingLevel/StartHelpLabel,"Drag the stone into the slingshot and let go when you aim at the apple"
Levels/TrainingLevel/RemainingOneHelpLabel,"It's the last time left! Shoot when the cart is under the apple"
Levels/TrainingLevel/RemainingTwoHelpLabel,"Hit the apple two more times"
Levels/TrainingLevel/LastHelpLabel,"Well done, buy access to the next level on the right to continue"
Levels/TrainingLevel/RestartHelpLabel,"Try again!"
Levels/LevelText,"Level"
Levels/Shop/ShopLabel,"Shop"
Levels/Shop/LevelAbbreviationLabel,"lvl"
Levels/Shop/PurchaseText,"Purchased"
Levels/Shop/FreeText,"Free"
Levels/Shop/ShopItem/Rock,"Rock"
Levels/Shop/ShopItem/MaxAvailableLevel,"Max Available Level"
Levels/Shop/ShopItem/WoodenSlingshot,"Wooden Slingshot"
Levels/Shop/ShopItem/MaxPunkBlackCat,"Max Punk Black Cat"
