MainMenu/PlayButton,"Играть"
Levels/TrainingLevel/StartHelpLabel,"Перетяни камень в рогатку, и отпусти, когда прицелишься в яблоко"
Levels/TrainingLevel/RemainingOneHelpLabel,"Остался последний раз! Выстрели, когда тележка будет под яблоком"
Levels/TrainingLevel/RemainingTwoHelpLabel,"Попади в яблоко ещё два раза"
Levels/TrainingLevel/LastHelpLabel,"Молодец, покупай доступ к следующему уровню справа для продолжения"
Levels/TrainingLevel/RestartHelpLabel,"Попробуй снова!"
Levels/LevelText,"Уровень"
Levels/Shop/ShopLabel,"Магазин"
Levels/Shop/LevelAbbreviationLabel,"ур"
Levels/Shop/PurchaseText,"Куплено"
Levels/Shop/FreeText,"Бесплатно"
Levels/Shop/ShopItem/Rock,"Камень"
Levels/Shop/ShopItem/MaxAvailableLevel,"Максимальный доступный уровень"
Levels/Shop/ShopItem/WoodenSlingshot,"Деревянная рогатка"
Levels/Shop/ShopItem/MaxPunkBlackCat,"Макс Панк Чёрный Кот"
